GEOID,White,Black,AIAN,Asian,NHPI,Hispanic
06037980024,94,0,0,26,0,80
06037117303,1184,36,0,770,0,2132
06037311801,1495,104,23,155,0,1066
06037651002,1344,192,0,1988,11,1042
06037103300,2918,101,18,185,0,492
06037222500,87,915,0,105,0,2942
06037401902,3997,193,0,370,12,1301
06037403902,1506,211,0,658,0,2733
06037191203,490,38,0,632,0,820
06037702002,3700,719,0,575,0,766
06037534102,33,86,0,9,0,5720
06037621324,2569,141,22,331,0,241
06037670416,1871,137,1,1232,1,267
06037920118,2138,94,12,635,0,2829
06037297201,1020,134,23,356,0,2302
06037109300,822,58,0,496,0,1327
06037134422,2788,221,0,1000,0,781
06037139802,2848,358,0,301,0,205
06037221710,257,63,0,344,0,1979
06037402404,621,159,0,359,0,431
06037576503,1194,287,0,193,0,2028
06037181000,2528,7,0,1299,0,1293
06037240020,5,1003,0,0,0,4358
06037276000,3754,293,0,1350,0,944
06037131024,744,274,0,439,0,2279
06037554302,165,546,18,648,0,2472
06037106408,155,147,0,64,0,3451
06037302104,1431,134,0,916,5,958
06037134522,862,26,12,368,0,3201
06037901102,2295,739,41,130,0,1906
06037203602,68,18,76,69,0,1733
06037670202,1434,4,0,602,0,346
06037701601,2790,64,17,516,0,426
06037900501,1451,1867,0,56,0,4249
06037990100,0,0,0,0,0,0
06037232300,144,1109,0,0,18,3241
06037276607,1461,320,0,436,0,300
06037310701,1514,115,0,198,0,566
06037920314,1648,17,0,436,0,993
06037211704,389,297,19,1196,0,708
06037310201,3119,42,0,434,0,851
06037135205,1421,48,55,181,0,54
06037403323,376,348,278,3596,0,900
06037554522,706,278,0,2683,0,990
06037125101,1733,654,82,513,0,1071
06037221303,207,183,0,144,0,1997
06037134104,781,150,0,1444,37,1480
06037295103,2505,209,16,507,0,1446
06037920013,3031,765,0,1173,174,1879
06037106114,255,73,10,726,15,5757
06037301203,2638,83,0,499,0,331
06037900504,891,1673,0,293,0,3456
06037540000,110,94,4,130,0,6373
06037297601,1385,141,21,6,76,1591
06037650101,811,81,12,2858,9,812
06037406601,690,269,8,1589,9,2273
06037502004,225,42,2,147,0,3205
06037532605,27,99,0,25,0,4237
06037221810,278,52,0,646,127,1114
06037267902,2359,241,1,496,7,218
06037401901,1493,262,0,1175,5,805
06037404703,38,49,12,594,0,2488
06037502700,492,67,0,206,28,6461
06037237102,33,993,0,16,0,2928
06037460002,1334,26,0,737,0,433
06037503501,1066,48,0,422,0,5227
06037800335,3158,3,16,146,0,681
06037115302,461,94,24,340,0,2918
06037127102,1153,373,0,223,0,3543
06037600201,17,1501,0,2,0,3539
06037602802,58,2746,1,103,30,1287
06037127606,733,113,0,405,0,1907
06037572001,2878,908,0,441,0,1528
06037218300,1151,1093,31,214,0,1948
06037185102,2075,77,0,261,0,891
06037187101,1053,0,0,616,0,1152
06037620001,2142,164,0,453,0,1011
06037134001,428,203,0,391,0,2353
06037273200,1600,191,0,181,0,600
06037570504,306,582,0,338,0,1914
06037271400,2271,0,12,397,0,245
06037400209,2208,348,0,864,0,948
06037143200,2114,257,0,384,0,1239
06037186302,1874,42,0,872,0,1683
06037273100,1994,90,0,359,0,461
06037462100,1080,286,0,366,0,2607
06037571701,838,492,0,290,0,4532
06037124103,438,34,0,216,0,1187
06037224600,143,199,0,63,0,2673
06037535501,41,9,0,0,0,2899
06037554105,300,592,0,631,14,2696
06037214700,1755,146,0,219,0,326
06037232402,174,1009,0,0,0,1856
06037406701,159,281,6,512,0,2193
06037700200,3883,82,24,225,0,1731
